VA Index	TX 안테나	RX 안테나	가상 X (mm)	가상 Y (mm)
158	S4-TX1	S4-RX3	47.46	99.59
159	S4-TX1	S4-RX4	51.10	101.34
160	S4-TX2	S1-RX1	56.79	76.14
161	S4-TX2	S1-RX2	58.62	77.98
162	S4-TX2	S1-RX3	60.36	81.61
163	S4-TX2	S1-RX4	62.19	83.39
164	S4-TX2	S2-RX1	54.74	101.26
165	S4-TX2	S2-RX2	56.61	101.35
166	S4-TX2	S2-RX3	60.07	101.25
167	S4-TX2	S2-RX4	63.83	101.43
168	S4-TX2	S3-RX1	63.96	85.24
169	S4-TX2	S3-RX2	65.85	87.02
170	S4-TX2	S3-RX3	67.70	86.97
171	S4-TX2	S3-RX4	71.41	87.03
172	S4-TX2	S4-RX1	45.75	90.52
173	S4-TX2	S4-RX2	47.55	94.18
174	S4-TX2	S4-RX3	49.34	97.70
175	S4-TX2	S4-RX4	52.98	99.45
176	S4-TX3	S1-RX1	58.67	74.24
177	S4-TX3	S1-RX2	60.50	76.08
178	S4-TX3	S1-RX3	62.24	79.71
179	S4-TX3	S1-RX4	64.07	81.49
180	S4-TX3	S2-RX1	56.62	99.36
181	S4-TX3	S2-RX2	58.49	99.45
182	S4-TX3	S2-RX3	61.95	99.35
183	S4-TX3	S2-RX4	65.71	99.53
184	S4-TX3	S3-RX1	65.84	83.34
185	S4-TX3	S3-RX2	67.73	85.12
186	S4-TX3	S3-RX3	69.58	85.07
187	S4-TX3	S3-RX4	73.29	85.13
188	S4-TX3	S4-RX1	47.63	88.62
189	S4-TX3	S4-RX2	49.43	92.28
190	S4-TX3	S4-RX3	51.22	95.80
191	S4-TX3	S4-RX4	54.86	97.55
